"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2023-06-28T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"provisorisch"
"2023-06-28T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",967.81,"provisorisch"
"2023-06-28T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",261.09,"provisorisch"
"2023-06-28T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",25.59,"provisorisch"
"2023-06-28T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",NA,"provisorisch"
"2023-06-28T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",NA,"provisorisch"
"2023-06-28T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",NA,"provisorisch"
"2023-06-28T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",NA,"provisorisch"
"2023-06-28T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",21.03,"provisorisch"
"2023-06-28T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"provisorisch"
"2023-06-28T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",967.84,"provisorisch"
"2023-06-28T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",25.87,"provisorisch"
"2023-06-29T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",22.76,"provisorisch"
"2023-06-29T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",3.38,"provisorisch"
"2023-06-29T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",964.89,"provisorisch"
"2023-06-29T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",256.4,"provisorisch"
"2023-06-29T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",28.15,"provisorisch"
"2023-06-29T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",NA,"provisorisch"
"2023-06-29T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",NA,"provisorisch"
"2023-06-29T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",NA,"provisorisch"
"2023-06-29T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",NA,"provisorisch"
