"id","lokalisationsname","messwert_von","messwert_bis","temporegime","temporegime_technical","umgesetzt_datum","rechtskraeftig_datum","publiziert_vsi_datum","ausnahmen_fahrverbot","fahrverbot_ssv","objectid"
"4009","Talweg","0.00000000","485.34900000","Fahrverbot","T0","","","","","","6511"
"4014","Schützengasse","0.00000000","105.91900000","Fahrverbot","T0","","","","","","6512"
"4016","Aspweg","153.14600000","229.41000000","Fahrverbot","T0","","","","","","6513"
"4982","namenlos209","0.00000000","40.49100000","Fahrverbot","T0","","","","","","6514"
"4987","Hauswiesenstrasse","84.37600000","136.94700000","Fahrverbot","T0","","","","","","6515"
"4998","Goldbrunnenstrasse","85.37800000","453.17900000","T30","T30","20151207000000","","","","","6516"
"4169","Caspar-Wüst-Strasse","393.58600000","528.97300000","T30","T30","","","","","","6517"
"4534","Limmattalstrasse","3046.02400000","3137.21800000","T50","T50","","","","","","6518"
"4022","Breitenlooweg","0.00000000","112.94500000","Fahrverbot","T0","","","","","","6519"
"4027","Lettenfussweg","0.00000000","113.16900000","Fahrverbot","T0","","","","","","6520"
"4033","Schwamendingerplatz","0.00000000","59.56200000","T30","T30","","","","","","6521"
"4038","Jakob-Fügli-Strasse","0.00000000","154.39200000","T30","T30","","","","","","6522"
"1464","Giblenstrasse","422.97200000","481.23200000","T30","T30","","","","","","6523"
"1471","Zwängiweg","0.00000000","128.12200000","T60","T60","","","","","","6524"
"1478","Nietengasse","152.55900000","152.72200000","T30","T30","","","","","","6525"
"1485","Gaugerstrasse","0.00000000","55.20400000","T30","T30","","","","","","6526"
"1492","Dreikönigstrasse","392.61700000","482.97500000","T30","T30","20180626000000","","","","","6527"
"1500","Nüschelerstrasse","258.70800000","319.56700000","T50","T50","","","","","","6528"
